audio_id	onset	offset	event_label
Yb0RFKhbpFJA.wav	0.0	10.0	Wind
Yb0RFKhbpFJA.wav	4.753	5.72	Male speech, man speaking
Yb0RFKhbpFJA.wav	0.0	10.0	Buzz
Yb0RFKhbpFJA.wav	6.899	7.01	Tick
Yb0RFKhbpFJA.wav	8.534	9.156	Wind noise (microphone)
YNQNTnl0zaqU.wav	0.0	0.103	Whack, thwack
YNQNTnl0zaqU.wav	0.233	0.443	Whack, thwack
YNQNTnl0zaqU.wav	0.542	0.785	Whack, thwack
YNQNTnl0zaqU.wav	0.94	1.208	Whack, thwack
YNQNTnl0zaqU.wav	1.2	2.183	Cash register
YNQNTnl0zaqU.wav	1.947	4.246	Power tool
YNQNTnl0zaqU.wav	3.539	5.464	Sawing
YNQNTnl0zaqU.wav	4.944	6.951	Train horn
YNQNTnl0zaqU.wav	6.975	7.869	Sound effect
YNQNTnl0zaqU.wav	7.999	8.933	Sound effect
YNQNTnl0zaqU.wav	9.063	10.0	Sound effect
Y4PPmyY_-YrA.wav	0.0	10.0	Hair dryer
Y4PPmyY_-YrA.wav	7.983	8.161	Tick
YLvNUyQ3xuAQ.wav	0.596	5.677	Dial tone
YXMl9lI7mKsM.wav	0.0	1.246	Male singing
YXMl9lI7mKsM.wav	0.0	10.0	Music
YXMl9lI7mKsM.wav	1.595	1.851	Male singing
YXMl9lI7mKsM.wav	2.375	2.91	Shout
YXMl9lI7mKsM.wav	5.437	8.394	Male singing
YO35jXasNYxc.wav	0.0	0.381	Human sounds
YO35jXasNYxc.wav	0.0	10.0	Background noise
YO35jXasNYxc.wav	0.733	1.578	Cough
YO35jXasNYxc.wav	1.683	2.094	Cough
YO35jXasNYxc.wav	2.191	2.565	Cough
YO35jXasNYxc.wav	2.708	3.134	Cough
YO35jXasNYxc.wav	3.762	4.024	Cough
YO35jXasNYxc.wav	4.084	4.892	Human sounds
YO35jXasNYxc.wav	5.37	6.2	Cough
YO35jXasNYxc.wav	6.313	6.859	Cough
YO35jXasNYxc.wav	7.076	7.322	Cough
YO35jXasNYxc.wav	7.307	7.921	Human sounds
YO35jXasNYxc.wav	8.205	9.596	Cough
YO35jXasNYxc.wav	9.663	10.0	Human sounds
